dataset,n,d,n_classes,method,k_selected,selected_features,trustworthiness,knn_overlap,cluster_ari,wass_persist,importance_time_sec
sonar,208,60,2,variance,54,0|1|3|4|5|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|52|53|54|56|57|58|59,0.99751998001998,0.8586538461538462,0.9386932495394951,1.3205648665621321,3.3041999998317806e-05
sonar,208,60,2,variance,55,0|1|3|4|5|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|56|57|58|59,0.9978971028971029,0.8673076923076924,0.9386932495394951,1.324831982092769,3.3041999998317806e-05
sonar,208,60,2,variance,56,0|1|2|3|4|5|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|56|57|58|59,0.998001998001998,0.8798076923076924,0.9386932495394951,1.341127555307324,3.3041999998317806e-05
sonar,208,60,2,variance,57,0|1|2|3|4|5|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|56|57|58|59,0.9982942057942058,0.8903846153846154,1.0,1.342102664794472,3.3041999998317806e-05
sonar,208,60,2,variance,58,0|1|2|3|4|5|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,0.998981018981019,0.918269230769231,1.0,1.3421594787462647,3.3041999998317806e-05
sonar,208,60,2,variance,59,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,0.9996278721278721,0.958173076923077,1.0,1.365470226308064,3.3041999998317806e-05
sonar,208,60,2,variance,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,1.0,1.0,1.0,0.0,3.3041999998317806e-05
seeds,210,7,3,pai,1,5,0.612650263190109,0.12,0.14452933454998806,96.57000493033485,5.478959208000006
seeds,210,7,3,pai,2,2|5,0.7283951524054352,0.2842857142857143,0.2595158623455829,85.63864735460777,5.478959208000006
seeds,210,7,3,pai,3,2|5|6,0.9683608764842698,0.598095238095238,0.7510454157686892,49.7288995558733,5.478959208000006
seeds,210,7,3,pai,4,2|4|5|6,0.9892275676337373,0.7128571428571429,0.7878243554550013,29.89190566319467,5.478959208000006
seeds,210,7,3,pai,5,2|3|4|5|6,0.9973607540702656,0.8433333333333335,0.8119389963956214,14.796951856144343,5.478959208000006
seeds,210,7,3,pai,6,1|2|3|4|5|6,0.9995005508630187,0.9385714285714287,0.8000235334373328,7.270599640360409,5.478959208000006
seeds,210,7,3,pai,7,0|1|2|3|4|5|6,1.0,1.0,1.0,0.0,5.478959208000006
seeds,210,7,3,nrs,1,5,0.612650263190109,0.12,0.14452933454998806,96.57000493033485,0.0064739169999938895
seeds,210,7,3,nrs,2,5|6,0.8850116293303953,0.3357142857142857,0.6038301658632037,89.9431652842483,0.0064739169999938895
seeds,210,7,3,nrs,3,0|5|6,0.9601591382054107,0.49238095238095236,0.7112421992861698,67.15788284073058,0.0064739169999938895
seeds,210,7,3,nrs,4,0|1|5|6,0.9605141388174807,0.5242857142857142,0.7882954955494679,58.95156718341629,0.0064739169999938895
seeds,210,7,3,nrs,5,0|1|3|5|6,0.9622328314359163,0.5442857142857142,0.7878243554550013,45.48583280981866,0.0064739169999938895
seeds,210,7,3,nrs,6,0|1|3|4|5|6,0.9834471783572041,0.6619047619047619,0.8753986677657813,30.346293653144773,0.0064739169999938895
seeds,210,7,3,nrs,7,0|1|2|3|4|5|6,1.0,1.0,1.0,0.0,0.0064739169999938895
seeds,210,7,3,relieff,1,0,0.8593095850165259,0.23952380952380958,0.6781160673032647,97.2961003434363,0.049653000000006386
seeds,210,7,3,relieff,2,0|1,0.8954927163667523,0.29666666666666663,0.6989652698142711,100.60721435592153,0.049653000000006386
seeds,210,7,3,relieff,3,0|1|4,0.9186167217529686,0.3680952380952381,0.6858330268920313,98.59839702675431,0.049653000000006386
seeds,210,7,3,relieff,4,0|1|4|6,0.9307014322438487,0.4014285714285714,0.7627212485065742,85.04210081514604,0.049653000000006386
seeds,210,7,3,relieff,5,0|1|3|4|6,0.9325400905863631,0.4219047619047619,0.7516050377949823,75.39035450122091,0.049653000000006386
seeds,210,7,3,relieff,6,0|1|2|3|4|6,0.939260619414861,0.5019047619047619,0.7841366002253801,54.09171905747773,0.049653000000006386
seeds,210,7,3,relieff,7,0|1|2|3|4|5|6,1.0,1.0,1.0,0.0,0.049653000000006386
seeds,210,7,3,mutual_info,1,0,0.8593095850165259,0.23952380952380958,0.6781160673032647,97.2961003434363,0.005682459000013296
seeds,210,7,3,mutual_info,2,0|1,0.8954927163667523,0.29666666666666663,0.6989652698142711,100.60721435592153,0.005682459000013296
seeds,210,7,3,mutual_info,3,0|1|4,0.9186167217529686,0.3680952380952381,0.6858330268920313,98.59839702675431,0.005682459000013296
seeds,210,7,3,mutual_info,4,0|1|3|4,0.9211090708777084,0.4042857142857143,0.7522990019502362,90.70712099588684,0.005682459000013296
seeds,210,7,3,mutual_info,5,0|1|3|4|6,0.9325400905863631,0.4219047619047619,0.7516050377949823,75.39035450122091,0.005682459000013296
seeds,210,7,3,mutual_info,6,0|1|2|3|4|6,0.939260619414861,0.5019047619047619,0.7841366002253801,54.09171905747773,0.005682459000013296
seeds,210,7,3,mutual_info,7,0|1|2|3|4|5|6,1.0,1.0,1.0,0.0,0.005682459000013296
seeds,210,7,3,variance,1,3,0.815235646958012,0.22428571428571434,0.5356815719018647,97.23921382810067,1.7874999997502528e-05
seeds,210,7,3,variance,2,0|3,0.9165552699228792,0.35714285714285715,0.637229699460964,99.11392880295834,1.7874999997502528e-05
seeds,210,7,3,variance,3,0|3|4,0.92142000244828,0.4085714285714286,0.7279153901658867,93.87648178777029,1.7874999997502528e-05
seeds,210,7,3,variance,4,0|3|4|6,0.9341584037213857,0.42571428571428577,0.7641591358186293,79.61967335645556,1.7874999997502528e-05
seeds,210,7,3,variance,5,0|1|3|4|6,0.9325400905863631,0.4219047619047619,0.7516050377949823,75.39035450122091,1.7874999997502528e-05
