dataset,n,d,method,k_selected,knn_K,knn_overlap,trustworthiness,k_pai_scale
iris,150,4,relieff,1,3,0.07555555555555554,0.8038314176245211,60.693333333333335
iris,150,4,relieff,1,5,0.13466666666666663,0.8299718309859155,60.693333333333335
iris,150,4,relieff,1,10,0.25066666666666665,0.8527980173482033,60.693333333333335
iris,150,4,relieff,1,20,0.44333333333333336,0.8851018131101813,60.693333333333335
iris,150,4,relieff,1,30,0.5633333333333334,0.9087527910685805,60.693333333333335
iris,150,4,relieff,1,50,0.7550666666666667,0.9379275167785235,60.693333333333335
iris,150,4,relieff,2,3,0.1288888888888889,0.8671877394636015,60.693333333333335
iris,150,4,relieff,2,5,0.176,0.873981220657277,60.693333333333335
iris,150,4,relieff,2,10,0.308,0.8902403965303594,60.693333333333335
iris,150,4,relieff,2,20,0.501,0.9149651324965132,60.693333333333335
iris,150,4,relieff,2,30,0.611111111111111,0.9294056353003721,60.693333333333335
iris,150,4,relieff,2,50,0.7825333333333335,0.9504089485458613,60.693333333333335
iris,150,4,relieff,3,3,0.27999999999999997,0.9305287356321839,60.693333333333335
iris,150,4,relieff,3,5,0.36666666666666664,0.9286009389671361,60.693333333333335
iris,150,4,relieff,3,10,0.5,0.9357967781908303,60.693333333333335
iris,150,4,relieff,3,20,0.6573333333333333,0.9508005578800558,60.693333333333335
iris,150,4,relieff,3,30,0.7424444444444445,0.9588771929824561,60.693333333333335
iris,150,4,relieff,3,50,0.8496,0.963896196868009,60.693333333333335
iris,150,4,relieff,4,3,1.0,0.9999693486590038,60.693333333333335
iris,150,4,relieff,4,5,1.0,0.999981220657277,60.693333333333335
iris,150,4,relieff,4,10,1.0,0.999995043370508,60.693333333333335
iris,150,4,relieff,4,20,1.0,1.0,60.693333333333335
iris,150,4,relieff,4,30,1.0,1.0,60.693333333333335
iris,150,4,relieff,4,50,1.0,0.9999982102908277,60.693333333333335
iris,150,4,mutual_info,1,3,0.10444444444444442,0.8519080459770115,60.693333333333335
iris,150,4,mutual_info,1,5,0.15466666666666665,0.8512676056338029,60.693333333333335
iris,150,4,mutual_info,1,10,0.2633333333333333,0.8697397769516728,60.693333333333335
iris,150,4,mutual_info,1,20,0.45866666666666667,0.9025606694560669,60.693333333333335
iris,150,4,mutual_info,1,30,0.5953333333333334,0.9244997341839447,60.693333333333335
iris,150,4,mutual_info,1,50,0.7815999999999999,0.9519624161073825,60.693333333333335
iris,150,4,mutual_info,2,3,0.1288888888888889,0.8671877394636015,60.693333333333335
iris,150,4,mutual_info,2,5,0.176,0.873981220657277,60.693333333333335
iris,150,4,mutual_info,2,10,0.308,0.8902403965303594,60.693333333333335
iris,150,4,mutual_info,2,20,0.501,0.9149651324965132,60.693333333333335
iris,150,4,mutual_info,2,30,0.611111111111111,0.9294056353003721,60.693333333333335
iris,150,4,mutual_info,2,50,0.7825333333333335,0.9504089485458613,60.693333333333335
iris,150,4,mutual_info,3,3,0.27999999999999997,0.9305287356321839,60.693333333333335
iris,150,4,mutual_info,3,5,0.36666666666666664,0.9286009389671361,60.693333333333335
iris,150,4,mutual_info,3,10,0.5,0.9357967781908303,60.693333333333335
iris,150,4,mutual_info,3,20,0.6573333333333333,0.9508005578800558,60.693333333333335
iris,150,4,mutual_info,3,30,0.7424444444444445,0.9588771929824561,60.693333333333335
iris,150,4,mutual_info,3,50,0.8496,0.963896196868009,60.693333333333335
iris,150,4,mutual_info,4,3,1.0,0.9999693486590038,60.693333333333335
iris,150,4,mutual_info,4,5,1.0,0.999981220657277,60.693333333333335
