dataset,n,d,seed,fold,method,k_selected,selected_features,acc_3nn,acc_svm_rbf,time_reduct_sec,time_eval_sec
wdbc,569,30,2,1,pai,22,0|1|2|4|5|8|9|10|11|14|15|16|17|18|19|21|24|25|26|27|28|29,0.9649122807017544,0.9736842105263158,24.184754292000093,0.0035588329999427515
wdbc,569,30,2,1,pai,23,0|1|2|3|4|5|8|9|10|11|14|15|16|17|18|19|21|24|25|26|27|28|29,0.9649122807017544,0.9649122807017544,24.184754292000093,0.003597166000076868
wdbc,569,30,2,1,pai,24,0|1|2|3|4|5|8|9|10|11|12|14|15|16|17|18|19|21|24|25|26|27|28|29,0.956140350877193,0.9736842105263158,24.184754292000093,0.0036010830000350325
wdbc,569,30,2,1,pai,25,0|1|2|3|4|5|8|9|10|11|12|14|15|16|17|18|19|20|21|24|25|26|27|28|29,0.9473684210526315,0.9736842105263158,24.184754292000093,0.003592000000026019
wdbc,569,30,2,1,pai,26,0|1|2|3|4|5|6|8|9|10|11|12|14|15|16|17|18|19|20|21|24|25|26|27|28|29,0.956140350877193,0.9736842105263158,24.184754292000093,0.00360137500001656
wdbc,569,30,2,1,pai,27,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|24|25|26|27|28|29,0.956140350877193,0.9736842105263158,24.184754292000093,0.0036335830000098213
wdbc,569,30,2,1,pai,28,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|23|24|25|26|27|28|29,0.956140350877193,0.9736842105263158,24.184754292000093,0.00367625000001226
wdbc,569,30,2,1,pai,29,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,24.184754292000093,0.003626250000024811
wdbc,569,30,2,1,pai,30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,24.184754292000093,0.0036987089999911404
wdbc,569,30,2,1,nrs,1,10,0.7631578947368421,0.7982456140350878,0.047144375000016225,0.003974500000026637
wdbc,569,30,2,1,nrs,2,10|22,0.8859649122807017,0.9210526315789473,0.047144375000016225,0.0028563329999542475
wdbc,569,30,2,1,nrs,3,10|22|28,0.9122807017543859,0.9298245614035088,0.047144375000016225,0.0028562080000256174
wdbc,569,30,2,1,nrs,4,10|22|26|28,0.9035087719298246,0.9385964912280702,0.047144375000016225,0.0029372920000696467
wdbc,569,30,2,1,nrs,5,10|12|22|26|28,0.9035087719298246,0.9385964912280702,0.047144375000016225,0.0029823329999771886
wdbc,569,30,2,1,nrs,6,10|12|19|22|26|28,0.9035087719298246,0.956140350877193,0.047144375000016225,0.0031223339999542077
wdbc,569,30,2,1,nrs,7,10|12|19|22|23|26|28,0.9210526315789473,0.9473684210526315,0.047144375000016225,0.0030502910000222982
wdbc,569,30,2,1,nrs,8,10|12|13|19|22|23|26|28,0.9210526315789473,0.9473684210526315,0.047144375000016225,0.0030286249999562642
wdbc,569,30,2,1,nrs,9,0|10|12|13|19|22|23|26|28,0.9298245614035088,0.9473684210526315,0.047144375000016225,0.003063957999984268
wdbc,569,30,2,1,nrs,10,0|7|10|12|13|19|22|23|26|28,0.9649122807017544,0.9385964912280702,0.047144375000016225,0.003109708000010869
wdbc,569,30,2,1,nrs,11,0|6|7|10|12|13|19|22|23|26|28,0.9649122807017544,0.9385964912280702,0.047144375000016225,0.003152208999949835
wdbc,569,30,2,1,nrs,12,0|5|6|7|10|12|13|19|22|23|26|28,0.956140350877193,0.9385964912280702,0.047144375000016225,0.0031964170000264858
wdbc,569,30,2,1,nrs,13,0|2|5|6|7|10|12|13|19|22|23|26|28,0.9649122807017544,0.9385964912280702,0.047144375000016225,0.003297083000006751
wdbc,569,30,2,1,nrs,14,0|2|5|6|7|10|12|13|19|22|23|26|27|28,0.9473684210526315,0.9473684210526315,0.047144375000016225,0.0032797079999227208
wdbc,569,30,2,1,nrs,15,0|2|5|6|7|8|10|12|13|19|22|23|26|27|28,0.9122807017543859,0.9473684210526315,0.047144375000016225,0.003338416999895344
wdbc,569,30,2,1,nrs,16,0|2|5|6|7|8|10|12|13|19|20|22|23|26|27|28,0.9122807017543859,0.9473684210526315,0.047144375000016225,0.0030820829999811394
wdbc,569,30,2,1,nrs,17,0|2|5|6|7|8|10|12|13|19|20|22|23|25|26|27|28,0.9210526315789473,0.9473684210526315,0.047144375000016225,0.003100958000004539
wdbc,569,30,2,1,nrs,18,0|2|5|6|7|8|10|11|12|13|19|20|22|23|25|26|27|28,0.9298245614035088,0.956140350877193,0.047144375000016225,0.003160458000024846
wdbc,569,30,2,1,nrs,19,0|2|3|5|6|7|8|10|11|12|13|19|20|22|23|25|26|27|28,0.9298245614035088,0.956140350877193,0.047144375000016225,0.0031649169999354854
wdbc,569,30,2,1,nrs,20,0|2|3|5|6|7|8|10|11|12|13|19|20|22|23|24|25|26|27|28,0.9473684210526315,0.956140350877193,0.047144375000016225,0.0032880840000188982
wdbc,569,30,2,1,nrs,21,0|2|3|5|6|7|8|10|11|12|13|16|19|20|22|23|24|25|26|27|28,0.9385964912280702,0.956140350877193,0.047144375000016225,0.00331879200007279
wdbc,569,30,2,1,nrs,22,0|2|3|5|6|7|8|10|11|12|13|14|16|19|20|22|23|24|25|26|27|28,0.9122807017543859,0.9649122807017544,0.047144375000016225,0.0033495830000447313
wdbc,569,30,2,1,nrs,23,0|2|3|5|6|7|8|9|10|11|12|13|14|16|19|20|22|23|24|25|26|27|28,0.9298245614035088,0.9649122807017544,0.047144375000016225,0.0034472500000219952
wdbc,569,30,2,1,nrs,24,0|2|3|5|6|7|8|9|10|11|12|13|14|16|19|20|21|22|23|24|25|26|27|28,0.9473684210526315,0.9824561403508771,0.047144375000016225,0.0033708330000763453
wdbc,569,30,2,1,nrs,25,0|2|3|5|6|7|8|9|10|11|12|13|14|16|19|20|21|22|23|24|25|26|27|28|29,0.9473684210526315,0.9824561403508771,0.047144375000016225,0.0035140830000273127
wdbc,569,30,2,1,nrs,26,0|2|3|4|5|6|7|8|9|10|11|12|13|14|16|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9736842105263158,0.047144375000016225,0.003600833999939823
