dataset,n,d,n_resample,seed,method,attribute_j,importance_score,pai_bound,n_pts_dgm_H0,n_pts_dgm_H1,thresh,maxdim,time_method_sec
iris,150,4,120,4,pai,0,0.420514851808548,8.239415190168287,119,26,2.0,1,0.7620621659999998
iris,150,4,120,4,pai,1,0.9683578908443451,11.04944478041503,119,26,2.0,1,0.7620621659999998
iris,150,4,120,4,pai,2,0.6460844874382019,6.70681637580517,119,26,2.0,1,0.7620621659999998
iris,150,4,120,4,pai,3,0.47211840748786926,6.3183448459344405,119,26,2.0,1,0.7620621659999998
iris,150,4,120,4,nrs,0,-0.05833333333333335,-1.0,-1,-1,2.0,1,0.0027065420000003115
iris,150,4,120,4,nrs,1,-0.06666666666666676,-1.0,-1,-1,2.0,1,0.0027065420000003115
iris,150,4,120,4,nrs,2,0.10833333333333328,-1.0,-1,-1,2.0,1,0.0027065420000003115
iris,150,4,120,4,nrs,3,0.17499999999999993,-1.0,-1,-1,2.0,1,0.0027065420000003115
iris,150,4,120,4,relieff,0,0.1369362745098039,-1.0,-1,-1,2.0,1,0.01700045800000005
iris,150,4,120,4,relieff,1,0.1217187499999999,-1.0,-1,-1,2.0,1,0.01700045800000005
iris,150,4,120,4,relieff,2,0.356087570621469,-1.0,-1,-1,2.0,1,0.01700045800000005
iris,150,4,120,4,relieff,3,0.3739236111111112,-1.0,-1,-1,2.0,1,0.01700045800000005
iris,150,4,120,4,mutual_info,0,0.46658593018204875,-1.0,-1,-1,2.0,1,0.0032752079999998074
iris,150,4,120,4,mutual_info,1,0.3212480283462491,-1.0,-1,-1,2.0,1,0.0032752079999998074
iris,150,4,120,4,mutual_info,2,0.9710317216661275,-1.0,-1,-1,2.0,1,0.0032752079999998074
iris,150,4,120,4,mutual_info,3,0.9774354450779279,-1.0,-1,-1,2.0,1,0.0032752079999998074
iris,150,4,120,4,variance,0,0.8707198903769924,-1.0,-1,-1,2.0,1,1.312500000061334e-05
iris,150,4,120,4,variance,1,0.9945112092679307,-1.0,-1,-1,2.0,1,1.312500000061334e-05
iris,150,4,120,4,variance,2,0.9608022646043772,-1.0,-1,-1,2.0,1,1.312500000061334e-05
iris,150,4,120,4,variance,3,0.9992451189751027,-1.0,-1,-1,2.0,1,1.312500000061334e-05
wine,178,13,142,0,pai,0,0.8103549480438232,8.449212360759972,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,1,0.7196694612503052,9.08435103343124,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,2,0.7659730315208435,13.670975008054915,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,3,0.7709345817565918,11.65105770081952,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,4,0.8285449147224426,12.919254675572796,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,5,0.7761573195457458,9.293522980061404,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,6,0.6550849080085754,9.517604527760017,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,7,0.76874840259552,8.541274427390503,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,8,0.7828665971755981,11.10821338550227,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,9,0.7009578943252563,10.13944040062521,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,10,0.6851407289505005,8.511437108470803,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,11,0.7018797993659973,7.711937771798713,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,pai,12,0.7468962073326111,8.929320443051298,142,10,2.0,1,1.5985169589999995
wine,178,13,142,0,nrs,0,0.035211267605633756,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,1,-0.04929577464788737,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,2,-0.007042253521126751,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,3,0.0,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,4,-0.007042253521126751,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,5,-0.014084507042253502,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,6,0.04225352112676062,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,7,-0.05633802816901412,-1.0,-1,-1,2.0,1,0.008927332999999926
